Maakond,Aasta,Hukkunuid,Hoone liik,Tekkepõhjus,Kuu
Harju maakond,2018,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),3
Harju maakond,2018,1,eluhoone,102 Suitsetamisel,3
Võru maakond,2018,1,-Puudub-,teadmata,4
Pärnu maakond,2018,1,eluhoone,101 Lahtise tule kasutamisel,4
Lääne-Viru maakond,2018,1,eluhoone,102 Suitsetamisel,4
Jõgeva maakond,2018,1,eluhoone,105 Kütteseadmete kasutamisel,4
Harju maakond,2018,1,eluhoone,105 Kütteseadmete kasutamisel,4
Põlva maakond,2018,1,eluhoone,102 Suitsetamisel,5
Jõgeva maakond,2018,1,eluhoone,102 Suitsetamisel,5
Võru maakond,2018,1,mitteeluhoone,102 Suitsetamisel,7
Ida-Viru maakond,2018,1,mitteeluhoone,105 Kütteseadmete kasutamisel,7
Harju maakond,2018,1,eluhoone,102 Suitsetamisel,7
Tartu maakond,2018,1,eluhoone,104 Elektriseadmete kasutamisel,8
Lääne maakond,2018,1,eluhoone,102 Suitsetamisel,8
Harju maakond,2018,1,eluhoone,102 Suitsetamisel,8
Tartu maakond,2018,2,eluhoone,101 Lahtise tule kasutamisel,9
Valga maakond,2018,1,eluhoone,101 Lahtise tule kasutamisel,10
Tartu maakond,2018,1,mitteeluhoone,601 Kindlaks tegemata põhjus,10
Tartu maakond,2018,1,eluhoone,105 Kütteseadmete kasutamisel,10
Lääne-Viru maakond,2018,1,eluhoone,403 Rike elektripaigaldises,10
Hiiu maakond,2018,1,eluhoone,102 Suitsetamisel,10
Harju maakond,2018,1,eluhoone,102 Suitsetamisel,10
Viljandi maakond,2018,3,eluhoone,402 Rike elektriseadmes,11
Valga maakond,2018,1,eluhoone,101 Lahtise tule kasutamisel,11
Tartu maakond,2018,2,eluhoone,102 Suitsetamisel,11
